TIEMPO_EMPRESA,ANALFABETISMO,EDUCACION,GENERO,EDAD,SINDICADO,SEGUNDO_TRABAJO,HORAS_REMUNERADAS,HORAS_NO_REMUNERADAS,EXPERIENCIA,ln_INGRESOS,ING_H,ln_ING_H,INDIGENA,AFRO
1.5,0,7,0,50,0,0,50,4,37,15.068273526459642,17500,9.769956159911606,0,0
1.5,0,11,1,50,0,0,40,20,33,13.71957878501095,5678.2875,8.644404969777122,0,0
10,0,16,1,37,0,0,20,49,15,14.457364444136669,23750,10.075337809462788,0,0
14,0,18,0,40,0,0,50,7,16,14.603967918328545,11000,9.305650551780507,0,0
1.5,0,9,0,51,0,0,48,1,36,13.71957878501095,4731.90625,8.46208341298317,0,0
0.16666666666666666,0,11,0,19,0,0,50,0,2,13.71957878501095,4542.63,8.421261418462914,0,0
3,0,10,1,44,0,0,48,10,28,14.151982794585487,7291.666666666667,8.894487422557706,0,0
0.16666666666666666,0,11,0,21,0,0,48,0,4,13.71957878501095,4731.90625,8.46208341298317,0,0
1,0,12,1,40,0,0,50,20,22,13.676248490630767,4350,8.37793112408273,0,0
1.6666666666666667,0,11,0,67,0,0,30,15,50,14.151982794585487,11666.666666666666,9.36449105180344,0,0
3,0,5,1,65,0,0,48,24,54,13.881790686622644,5565.239583333333,8.624295314594862,0,0
0.5,0,11,0,56,0,0,60,0,39,13.71957878501095,3785.525,8.238939861668959,0,0
5,0,11,1,51,0,0,54,14,34,13.71957878501095,4206.138888888889,8.344300377326785,0,0
0.08333333333333333,0,11,0,38,0,0,60,0,21,13.217673557208654,2291.6666666666665,7.737034633866663,0,0
1.5,0,9,0,34,0,0,40,20,19,13.592367006650065,5000,8.517193191416238,0,0
3.5,0,14,1,52,0,0,48,20,32,13.815510557964274,5208.333333333333,8.558015185936492,0,0
8,0,13,1,32,0,0,48,55,13,14.403297222866392,9375,9.14580185083861,0,0
0,0,14,0,27,0,0,48,0,7,13.71957878501095,4731.90625,8.46208341298317,0,0
10,0,1,0,75,0,0,72,0,68,13.815510557964274,3472.222222222222,8.152550077828328,0,0
1,0,14,0,55,0,0,48,0,35,13.71957878501095,4731.90625,8.46208341298317,0,0
0.08333333333333333,0,12,0,34,0,0,50,20,16,13.815510557964274,5000,8.517193191416238,0,0
25,0,16,0,49,0,0,48,12,27,14.914122846632385,15625,9.656627474604603,0,0
10,0,13,1,50,0,0,10,35,31,12.429216196844383,6250,8.740336742730447,0,0
0.4166666666666667,0,16,0,23,0,0,10,7,1,12.89921982609012,10000,9.210340371976184,0,0
0.16666666666666666,0,14,1,20,0,0,48,14,0,13.71957878501095,4731.90625,8.46208341298317,0,0
1.1666666666666667,0,11,1,23,0,0,48,14,6,13.815510557964274,5208.333333333333,8.558015185936492,0,0
3,0,13,1,33,0,0,20,18,14,12.611537753638338,3750,8.229511118964457,0,0
14,0,11,1,41,0,0,65,14,24,13.71957878501095,3494.3307692307694,8.158897153995422,0,0
0.3333333333333333,0,11,0,45,0,0,44,3,28,13.71957878501095,5162.079545454545,8.549094789972798,0,0
0.75,0,5,1,38,0,0,60,71,27,13.71957878501095,3785.525,8.238939861668959,0,0
0.16666666666666666,0,7,0,40,0,0,48,30,27,13.997832114758229,6250,8.740336742730447,0,0
23,0,11,0,47,0,0,48,0,30,14.457364444136669,9895.833333333334,9.199869072108887,0,0
3,0,11,1,21,0,0,24,12,4,12.611537753638338,3125,8.047189562170502,0,0
15,0,4,0,51,0,0,48,0,41,13.815510557964274,5208.333333333333,8.558015185936492,0,0
10,0,11,1,50,0,0,30,20,33,11.695247021764184,1000,6.907755278982137,0,0
20,0,16,0,45,0,0,60,0,23,15.068273526459642,14583.333333333334,9.587634603117651,0,0
15,0,14,1,43,0,0,54,28,23,14.73180128983843,11574.074074074075,9.356522882154264,0,0
0.9166666666666666,0,16,1,29,0,0,48,0,7,14.508657738524219,10416.666666666666,9.251162366496438,0,0
13,0,16,0,38,0,0,48,1,16,14.914122846632385,15625,9.656627474604603,0,0
3.3333333333333335,0,16,1,48,0,0,48,30,26,15.424948470398375,26041.666666666668,10.167453098370594,0,0
