"","ID","POBREZA","ANALFABETISMO","ETNIA","EDUCACION","GENERO","QUEHACERES_TIEMPO","AUTOCONSTRUCCION_TIEMPO","ROPA_TIEMPO","ANCIANOS_TIEMPO","NINYOS_TIEMPO","QUEHACERES_FUERA_TIEMPO","ANIMALES_TIEMPO","INGRESOS","EXTRAS_TIEMPO","SINDICADO","CAMBIO_TRABAJO","HORAS_SEG_TRABAJO","SEGUNDO_TRABAJO","HORAS_PRIM_TRABAJO","CONTRATO","TERMINO_CONTRATO","MODALIDAD_CONTRATO","TIEMPO_EMPRESA","HORAS_REMUNERADAS","HORAS_NO_REMUNERADAS"
"8012",8765,NA,1,6,13,1,0,0,0,0,0,0,0,908526,0,2,1,0,2,48,1,2,2,36,48,0
"8013",8766,NA,1,6,11,1,10,0,0,0,15,0,0,1200000,0,2,2,0,2,48,2,NA,NA,24,48,25
"8014",8767,1,1,6,11,1,20,0,0,0,0,0,0,1500000,0,2,2,0,2,48,1,1,2,312,48,20
"8015",8768,2,1,6,11,2,15,0,0,0,0,0,0,1700000,0,2,2,0,2,48,1,1,2,132,48,15
"8016",8769,NA,1,6,11,2,15,0,0,0,0,0,0,1500000,0,2,2,0,2,50,1,1,2,84,50,15
"8017",8770,NA,1,6,11,1,10,0,0,0,0,0,0,8e+05,0,2,2,0,2,48,2,NA,NA,420,48,10
"8018",8771,NA,1,6,7,1,10,0,0,0,0,0,0,9e+05,0,2,2,0,2,48,2,NA,NA,360,48,10
"8019",8772,NA,1,6,12,2,10,0,0,0,20,0,0,908526,0,2,2,0,2,48,1,2,2,4,48,30
"8020",8773,2,1,6,14,2,8,0,0,0,0,0,0,1600000,0,2,2,0,2,40,1,1,2,120,40,8
"8021",8774,NA,1,6,16,2,8,0,0,0,0,0,0,1750000,0,2,2,0,2,40,1,2,2,14,40,8
"8022",8775,NA,1,6,11,1,8,0,0,0,0,0,0,850000,0,2,1,0,2,40,2,NA,NA,84,40,8
"8023",8776,NA,1,6,13,1,12,0,0,0,0,0,0,8e+05,0,2,1,0,2,40,2,NA,NA,48,40,12
"8024",8777,NA,1,6,13,2,20,0,0,0,24,0,0,908000,0,2,2,0,2,48,1,1,2,2,48,44
"8025",8778,2,1,5,11,1,8,0,0,0,0,0,0,1300000,0,2,2,0,2,48,1,1,2,192,48,8
"8026",8779,NA,1,5,14,2,14,0,0,0,0,0,0,250000,0,2,1,0,2,36,2,NA,NA,18,36,14
"8027",8780,1,1,6,11,1,7,0,0,0,0,0,0,1060000,0,2,2,0,1,40,2,NA,NA,360,40,7
"8028",8781,1,1,6,4,2,22,0,0,0,0,0,0,20000,0,2,1,0,2,5,2,NA,NA,3,5,22
"8029",8782,NA,1,6,11,1,0,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,2,2,4,48,0
"8030",8783,2,1,6,16,1,10,0,0,0,15,0,0,1500000,0,2,2,0,2,40,1,1,2,60,40,25
"8031",8784,NA,1,6,16,2,15,0,0,0,20,0,0,1500000,0,2,2,0,2,40,1,1,2,60,40,35
"8032",8785,1,1,6,13,1,10,0,0,0,0,0,0,6e+05,0,2,2,0,2,40,2,NA,NA,480,40,10
"8033",8786,NA,1,6,11,1,0,0,0,0,0,0,0,8e+05,0,2,1,0,2,40,2,NA,NA,24,40,0
"8034",8787,NA,1,6,13,1,0,0,0,0,0,0,0,9e+05,0,2,2,0,2,48,1,NA,1,72,48,0
"8035",8788,1,1,6,14,1,10,0,0,0,0,0,0,1500000,0,2,2,0,2,48,2,NA,NA,240,48,10
"8036",8789,NA,1,6,17,2,30,0,0,0,0,0,0,4300000,0,1,2,0,2,0,1,1,2,324,0,30
"8037",8790,NA,1,6,6,1,0,0,0,0,0,0,0,1e+06,0,2,2,0,2,40,2,NA,NA,240,40,0
"8038",8791,1,1,6,13,2,30,0,0,0,0,0,0,8e+05,0,2,2,0,2,40,2,NA,NA,48,40,30
"8039",8792,NA,1,6,13,2,20,0,0,0,0,0,0,0,0,2,2,0,2,40,1,2,2,0,40,20
"8040",8793,NA,1,5,12,1,0,0,0,0,0,0,0,8e+05,0,2,1,0,2,0,2,NA,NA,24,0,0
"8041",8794,NA,1,5,16,2,8,0,0,0,8,0,0,1200000,0,2,2,0,2,48,1,1,2,3,48,16
"8042",8797,2,1,4,13,1,14,0,0,0,0,0,0,1300000,0,2,2,0,1,0,2,NA,NA,480,0,14
"8043",8798,2,1,6,18,1,4,0,0,0,0,0,0,3400000,0,2,2,0,2,48,1,1,2,216,48,4
"8044",8801,NA,1,6,12,2,0,0,0,0,0,0,0,1550000,0,2,2,0,2,48,1,NA,1,84,48,0
"8045",8802,NA,1,6,16,2,10,0,0,0,0,0,0,3500000,0,2,2,0,2,40,1,1,2,312,40,10
