gender	hand	eyecolor	glasses	california	birthmonth	birthday	birthyear	ageinmonths	height	graduate	oncampus	time	walk	hsclass	HSCA	calculus	AP	cell	ipod	sleep	alcohol	speed	UCLA	book	relax	instructor	tire	Quarter
female	right	brown	no	yes	jan	29	1987	260	62	2009	no	25	walk	564	yes	yes	no	yes	no	6	0	100	15000	no	tae bo	Davis	front left	Fall08
female	right	brown	no	no	dec	17	1987	249	62	2010	no	20	walk	410	yes	no	no	yes	yes	9	3	110	40000	yes	sleeping, singing, playing cello, watching tv, going online, reading, etc	Davis	front right	Fall08
male	right	brown	yes	yes	oct	30	1988	239	69	2010	no	30	bus	1000	yes	yes	yes	yes	yes	5	1	120	8000	yes	Basketball	Gould	front right	Fall08
male	right	brown	yes	yes	jan	6	1988	233	71	2010	no	20	walk	750	yes	yes	no	yes	yes	6	5	115	40000	yes	Poker	Davis	front right	Fall08
male	right	brown	no	no	dec	20	1987	249	75	2010	no	30	bus	29	no	yes	no	yes	yes	6	0	90	20000	yes	none	Ioudina	rear left	Fall08
female	right	green	no	yes	june	5	1988	231	63	2010	yes	15	walk	750	yes	no	no	yes	yes	7	3	120		yes	Reading	Davis	front right	Fall08
male	right	brown	yes	yes	oct	29	1979	348	70	2010	no	40	car (by yourself)	100	yes	yes	no	yes	yes	5		90	5000	no	collecting music	Davis	rear left	Fall08
female	right	hazel	no	yes	aug	4	1988	241	72	2011	yes	25	walk	4000	yes	no	no	yes	yes	8	0	85	25000	yes	guitar	Esfandiari	front left	Fall08
female	left	hazel	no	yes	jan	16	1989	236	68	2011	no	10	walk	603	yes	no	no	yes	yes	8	0	85	20000	yes	piano	Davis	front left	Fall08
female	right	brown	yes	yes	oct	14	1989	227	61	2011	yes	15	walk	670	yes	yes	no	yes	yes	9	0	80	25000	yes	reading	Davis	front left	Fall08
female	right	brown	yes	no	dec	27	1987	249	67	2010	yes	20	walk	600	yes	yes	no	yes	yes	6	0	110	5000	yes	ice skating	Gould	front left	Fall08
male	right	brown	yes	yes	oct	4	1988	240	70	2010	yes	10	bicycle	490	yes	yes	no	yes	yes	5.5	0	107	20000	yes	Running	Esfandiari	front right	Fall08
male	right	brown	yes	yes	jan	19	1989	236	67.5	2011	yes	15	walk	850	yes	yes	yes	yes	yes	5	0	95	10000	yes	guitar	Ioudina	front right	Fall08
female	right	brown	no	no	sept	10	1988	240	61	2011	no	90	car (by yourself)	603	yes	yes	yes	yes	yes	6	0	80	10000	no	none	Davis	front left	Fall08
female	ambidextrous	brown	no	yes	july	17	1989	230	63	2011	no	30	walk	150	yes	yes	no	yes	yes	8	2	95	30000	no	basketball	Davis	front left	Fall08
female	right	brown	yes	no	june	12	1989	231	64	2011	yes	20	walk	700	no	yes	yes	yes	yes	5	2	85	2000	yes	shopping	Davis	front left	Fall08
male	right	brown	no	yes	may	25	1989	232	71	2011	yes	20	walk	400	yes	yes	no	yes	no	6	0	90	25000	yes	soccer	Davis	front right	Fall08
female	right	brown	no	yes	may	19	1989	232	64	2011	yes	17	walk	250	yes	no	no	yes	yes	5	1	80	50000	no	none	Davis	front right	Fall08
female	right	brown	yes	yes	jan	1	1989	236	67	2010	no	15	car (by yourself)	600	yes	yes	no	yes	yes	9	0	70	5000	yes	music	Davis	front right	Fall08
female	right	brown	yes	yes	aug	12	1989	229	66	2011	yes	20	walk	436	yes	no	no	yes	yes	8	0	80	40000	yes	listen to music	Davis	front right	Fall08
female	left	brown	yes	yes	june	10	1989	231	68	2011	no	25	walk	560	yes	yes	no	yes	yes	7	0	70	30000	yes	writing	Davis	front left	Fall08
female	right	blue	yes	yes	oct	3	1988	239	67	2011	yes	10	walk	200	yes	no	no	yes	yes	7	1	100	40000	yes	music	Davis	front left	Fall08
male	right	hazel	no	yes	july	31	1989	230	69	2011	yes	8	walk	430	yes	yes	no	yes	yes	6.5	2	77	27000	yes	dancing	Davis	front right	Fall08
female	right	hazel	no	no	july	14	1984	290	65	2010	yes	75	car (by yourself)	25	no	yes	yes	yes	no	7	3	110	40000	yes	playing piano	Davis	front right	Fall08
