"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"2632","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",75,100,80,91,420
"2633","M","Estrato 5","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",69,75,74,82,372
"2634","M","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",52,70,62,78,308
"2635","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",63,54,62,68,304
"2636","M","Estrato 5","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",59,68,67,82,328
"2637","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",58,46,61,67,284
"2638","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",71,74,71,82,364
"2639","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",65,69,69,77,341
"2640","F","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS",NA,"30 minutos o menos","NO OFICIAL","MIXTO","URBANO",79,77,72,89,368
"2641","F","Estrato 5","5 a 6","Tres","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","RURAL",75,68,61,68,337
"2642","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",51,59,44,47,236
"2643","F","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",73,71,69,83,355
"2644","F","Estrato 5","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",66,61,57,77,311
"2645","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",81,85,76,84,402
"2646","M","Estrato 5","3 a 4","Cuatro","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",66,68,70,83,347
"2647","F","Estrato 5","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",75,66,63,83,347
"2648","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",62,73,67,72,345
"2649","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",64,61,72,80,347
"2650","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",67,71,71,88,359
"2651","M","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",73,70,72,82,375
"2652","F","Estrato 5","3 a 4","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",66,65,66,80,331
"2653","F","Estrato 5","5 a 6","Cinco","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",57,55,54,57,278
"2654","F","Estrato 5","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",65,73,71,72,348
"2655","M","Estrato 5","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",67,61,59,79,320
"2656","F","Estrato 5","7 a 8","Seis o mas","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",77,75,69,89,380
"2657","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",70,74,67,82,366
"2658","F","Estrato 5","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",63,74,61,56,327
"2659","F","Estrato 5","1 a 2","Tres","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",59,62,62,65,307
"2660","F","Estrato 5","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",68,69,60,85,334
"2661","M","Estrato 5","5 a 6","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MASCULINO","URBANO",71,76,76,86,373
"2662","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,68,66,86,355
"2663","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",69,61,61,72,312
"2664","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,71,67,83,343
"2665","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",58,65,67,83,337
"2666","M","Estrato 5","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MASCULINO","URBANO",63,69,65,74,325
"2667","F","Estrato 5","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,66,68,83,346
"2668","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",69,74,68,88,357
"2669","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",62,63,65,79,323
"2670","M","Estrato 5","5 a 6","Cinco","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",55,66,62,66,322
"2671","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",64,64,61,71,320
"2672","M","Estrato 5","1 a 2","Uno","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",54,61,54,52,273
"2673","F","Estrato 5","3 a 4","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",63,71,65,76,320
"2674","M","Estrato 5","1 a 2","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",77,74,69,90,374
"2675","F","Estrato 5","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",69,68,67,76,341
"2676","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",69,77,70,91,373
"2677","F","Estrato 5","5 a 6","Cinco","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",60,49,55,64,283
"2678","F","Estrato 5","3 a 4","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",75,71,69,81,359
"2679","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",68,52,58,67,293
"2680","M","Estrato 5","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MASCULINO","URBANO",67,76,68,78,346
"2681","M","Estrato 5","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",62,58,59,59,286
"2682","M","Estrato 5",NA,NA,"Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",68,77,73,77,370
"2683","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",77,75,74,73,382
"2684","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",59,57,57,86,294
"2685","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",54,63,58,73,291
"2686","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",72,75,69,75,362
"2687","M","Estrato 5","3 a 4","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",70,73,65,76,347
"2688","M","Estrato 5","3 a 4","Uno","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",73,78,79,74,375
"2689","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,72,71,80,348
"2690","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",59,56,61,59,285
"2691","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",75,74,74,83,373
"2692","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",73,58,57,83,333
"2693","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",73,75,64,80,361
"2694","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",67,63,64,69,325
"2695","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",73,71,66,76,345
"2696","M","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,65,66,59,312
"2697","M","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",65,60,64,73,327
"2698","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",71,62,63,67,325
"2699","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",75,84,75,82,380
"2700","M","Estrato 5","1 a 2","Dos","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",55,68,54,68,295
"2701","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",63,60,64,72,317
"2702","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",73,68,76,83,368
"2703","F","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",58,70,58,77,318
"2704","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",75,77,76,87,377
"2705","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",61,78,69,79,348
"2706","M","Estrato 5","1 a 2","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",65,57,54,73,302
"2707","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",68,64,71,72,340
"2708","F","Estrato 5","7 a 8","Seis o mas","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",80,70,67,82,372
"2709","M","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",67,67,55,64,311
"2710","F","Estrato 5","3 a 4","Dos","Si","MÁS DE 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",77,84,78,88,404
"2711","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",72,75,70,90,355
"2712","F","Estrato 5","3 a 4","Cinco","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",67,72,74,83,356
"2713","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",71,70,65,75,347
"2714","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",67,74,69,86,358
"2715","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",69,67,78,80,354
"2716","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,75,74,76,366
"2717","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",60,57,59,63,287
"2718","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",64,61,62,67,304
"2719","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",63,61,56,64,303
"2720","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",74,72,71,83,367
"2721","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",75,76,72,81,380
"2722","F","Estrato 5","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",71,71,67,78,350
"2723","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",75,66,67,85,364
"2724","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",58,66,64,79,326
"2725","M","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",61,75,78,87,351
"2726","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",78,70,77,84,382
"2727","F","Estrato 5","1 a 2","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",71,63,66,85,353
"2728","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",68,69,66,82,344
"2729","F","Estrato 5","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",57,72,59,74,301
"2730","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",53,48,46,70,254
"2731","F","Estrato 5","5 a 6","Cinco","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",43,45,50,52,236
"2732","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,81,71,82,375
"2733","F","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",60,72,55,76,314
"2734","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,76,73,82,372
"2735","M","Estrato 5","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",82,68,66,80,368
"2736","M","Estrato 5","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",72,70,67,78,363
"2737","M","Estrato 5","5 a 6","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",57,55,56,77,266
"2738","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",74,76,69,75,361
"2739","M","Estrato 5","5 a 6",NA,"Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",49,50,46,56,240
"2740","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",50,57,58,83,279
"2741","M","Estrato 5","1 a 2","Dos","Si","26 A 100 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",76,71,71,89,370
"2742","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",68,72,75,89,363
"2743","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",78,73,69,77,362
"2744","F","Estrato 5","1 a 2","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","FEMENINO","RURAL",60,60,57,74,297
"2745","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",59,69,60,78,308
"2746","M","Estrato 5","1 a 2","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",77,75,72,89,378
"2747","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",60,57,57,65,289
"2748","F","Estrato 5","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","FEMENINO","URBANO",71,66,65,79,334
"2749","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",77,60,65,81,338
"2750","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",58,63,47,78,286
"2751","F","Estrato 5",NA,"Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",59,71,74,74,349
"2752","M","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",54,43,56,50,260
"2753","M","Estrato 5","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",48,62,63,58,287
"2754","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",61,61,60,70,319
"2755","M","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MASCULINO","URBANO",71,82,77,79,378
"2756","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",65,64,64,66,327
"2757","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",70,73,72,79,355
"2758","F","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",75,65,66,66,333
"2759","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",77,72,69,89,372
"2760","F","Estrato 5","3 a 4","Dos","No","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","RURAL",70,82,78,84,385
"2761","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",65,69,71,84,342
"2762","M","Estrato 5","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",66,65,64,66,320
"2763","M","Estrato 5","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",54,66,63,77,300
"2764","F","Estrato 5","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",75,74,66,80,365
"2765","M","Estrato 5","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",72,76,80,82,383
"2766","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,66,63,70,332
"2767","M","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,69,65,71,325
"2768","F","Estrato 5","5 a 6","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",76,82,75,79,386
"2769","F","Estrato 5","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",64,70,67,82,336
"2770","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,64,60,81,332
"2771","F","Estrato 5","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",78,77,76,88,389
"2772","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",67,77,70,83,354
"2773","M","Estrato 5","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,64,68,78,325
"2774","M","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",67,66,67,76,338
"2775","F","Estrato 5","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",63,62,61,78,325
"2776","M","Estrato 5","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",65,63,58,71,318
"2777","M","Estrato 5","5 a 6","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",71,80,73,84,374
"2778","F","Estrato 5","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",66,73,66,85,345
